ID,fName,lName,Sex,Email,Phone,Date_of_Birth,Salary,Department,Degree,Street_Address,City,Zip,Country
53654,Kermit,Hooper,M,hooper.kermit@gcu.edu,(241) 601-8727,1961-10-07,71328.21,CSET,Biochemical Engineering,"P.O. Box 645, 5010 Elit, Avenue",Cork,94-213,Netherlands
82377,Ebony,Cruz,F,ebony.cruz8346@gcu.edu,(361) 601-1285,1983-07-24,54375.03,Performing arts,Software Devolopment ,595-3293 Orci St.,Delhi,589787,United States
65626,Rosalyn,James,F,j-rosalyn@gcu.edu,(348) 886-1429,1968-01-01,67268.87,Medical Studies,90s Era Dance,345-117 Sit Rd.,Tyumen,38270553,South Korea
69134,Odette,Daugherty,M,o_daugherty661@gcu.edu,(957) 697-8593,1983-09-29,39129.64,Teaching,Christian Studies,"P.O. Box 176, 5609 In Rd.",Tauranga,2938,Colombia
16391,Latifah,Franklin,M,franklinlatifah3580@gcu.edu,(709) 846-7051,1986-10-29,78980.44,Communications,Christian Studies,Ap #518-6385 Lacus St.,Gimcheon,WB5U 1DP,New Zealand
91574,Lavinia,Mendez,M,mendezlavinia@gcu.edu,(203) 325-2142,1965-11-18,54463.17,Communications,Biochemical Engineering,"P.O. Box 445, 1416 Iaculis, St.",Hudiksvall,22136,Turkey
98670,Carson,Scott,M,scott-carson@gcu.edu,(811) 383-1827,1968-02-20,65752.91,Psycology,Software Devolopment ,8970 Sagittis. Rd.,Warszawa,7592 US,Colombia
60412,Henry,Elliott,M,ehenry8656@gcu.edu,(313) 441-1913,1969-11-02,62178.00,Criminal Justice,Electrical Engineering,Ap #874-4592 Sit Avenue,Seattle,966879,Vietnam
52385,Carlos,Mccormick,F,carlos.mccormick@gcu.edu,(529) 879-9511,1997-02-19,45901.41,CSET,Electrical Engineering,"P.O. Box 821, 8422 Vel St.",Sukabumi,T7T 6G1,Austria
18309,Jerry,Bird,M,j.bird@gcu.edu,(472) 684-1284,1980-07-22,46361.25,CSET,Software Devolopment ,"612-4476 Quam, Ave",Melton Mowbray,532243,Belgium
